id,team_id,name,address,country_code,bedrooms,notes,internal_name,timezone_name,property_type,summary,primary_host_id,primary_host_name,created_at,modified_at,deleted_at,state,check_in_time,check_out_time,check_in_time_ends_at,property_privacy,source,ota_listing_id,latitude,longitude,owner_id,account_id,template_count,has_long_term_variant,co_listing_id
1486,639,"Tam Giac Mach Homestay - A boutique studio of Westlake Hanoi","59 Xuân Diệu",VN,1,"Clean and quiet homestay with the lakeview of Westlake, Hanoi. Tam Giac Mach Homestay is a perfect place to rest before and after your trip while doing the amazing Hanoi Loop",NULL,Asia/Saigon,"1 Bedroom",NULL,NULL,NULL,"2021-11-10 07:52:01","2021-11-12 04:32:31",NULL,ACTIVATED,15:00:00,12:00:00,NULL,NULL,cohost.club,co_kt3waubs,NULL,NULL,NULL,NULL,2,NULL,1244
1487,639,"★Panorama WestLake View | 2BR Private apartment","59 Xuân Diệu",VN,2,"This is an apartment with 2 bedrooms and 2 bathrooms. The wonderful is the apartment is located, in the location overlooking the Westlake and has a very cozy, quiet space suitable for guests who want to enjoy the feeling of peace, a wonderful experience when coming to this apartment.",NULL,Asia/Saigon,"2 Bedroom",NULL,NULL,NULL,"2021-11-10 07:56:49","2021-11-12 04:32:31",NULL,ACTIVATED,15:00:00,12:00:00,NULL,NULL,cohost.club,co_gtv8lupc,NULL,NULL,NULL,NULL,2,NULL,1245
1488,639,"City View Deluxe Room - Old Quarter Unique Style","9 Trần Hưng Đạo",VN,1,"Located at a peaceflul residential area at the French Quarter of Hanoi, the Hanorama Apartment can be reached by local transportation & taxi and just a quick walk from some of the most iconic places in Hanoi.",NULL,Asia/Saigon,"1 Bedroom",NULL,NULL,NULL,"2021-11-10 08:09:04","2021-11-12 04:32:31",NULL,ACTIVATED,15:00:00,12:00:00,NULL,NULL,cohost.club,co_ajzfvzgx,NULL,NULL,NULL,NULL,2,NULL,1246
1489,639,"King Apartment - 2Br in the middel of Hanoi Old Quarter","Ngõ 1 Hàng Chuối",VN,2,"With French architecture being the main inspiration behind the design of the apartment just as it had on Vietnamese culture, the apartment with a lovely balcony view of the street will let you immerse yourself into real life of a citizen without having even to leave the apartment.",NULL,Asia/Saigon,"2 Bedroom",NULL,NULL,NULL,"2021-11-10 09:36:27","2021-11-12 03:39:21",NULL,ACTIVATED,15:00:00,12:00:00,NULL,NULL,cohost.club,co_ygavt7ma,NULL,NULL,NULL,NULL,2,NULL,1247
1490,639,"The Pianist *-* 2BR with Westlake View","136 Quảng An",VN,1,"My place is brand new. It’s easy to walk to Truc Bach lake. The environment is really clean and make you feel comfortable to stay near Truc Bach lake. My apartments are also near food street named Ngu Xa with famous dish Rolling Pho.",NULL,Asia/Saigon,"2 Bedroom",NULL,NULL,NULL,"2021-11-10 09:39:07","2021-11-12 04:32:31",NULL,ACTIVATED,15:00:00,12:00:00,NULL,NULL,cohost.club,co_n0fymhjb,NULL,NULL,NULL,NULL,2,NULL,1248
1491,639,"Royal Homestay - Studio in central Hanoi","74 Phùng Hưng",VN,1,"INCREDIBLE EXPERIENCES - ENTHUSIASTIC HOSTS - RELAXING & JOYFUL HOMES AT THE OLD QUARTER

You are in good care when staying with us!

The name shows you our unique home. Moreover, it was designed and renovated from our passion to bring enjoyable experience to guests. The previous guests' reviews and the pictures are the most honest evidences showing about our listings and the way our team working - all to provide you trustworthy services, comfortable stay with very local recommendations.",NULL,Asia/Saigon,Studio,NULL,NULL,NULL,"2021-11-10 09:44:56","2021-11-12 04:32:31",NULL,ACTIVATED,15:00:00,12:00:00,NULL,NULL,cohost.club,co_vacboeh6,NULL,NULL,NULL,NULL,2,NULL,1249
1492,639,"Fairy Rose Homestay - fancy 1Br in Hanoi","77 Trung Hoà",VN,1,"Two-bedroom apartment with a dining area and a kitchen. Great locate, 6 minutes-walk to the Hoan Kiem Lake, 15 to the Old Quarter, which are the hottest spots for nightlife and tourism!",NULL,Asia/Saigon,"1 Bedroom",NULL,NULL,NULL,"2021-11-10 09:51:40","2021-11-12 03:46:30",NULL,ACTIVATED,15:00:00,12:00:00,NULL,NULL,cohost.club,co_ix0phz4s,NULL,NULL,NULL,NULL,2,NULL,1250
1493,639,"Starling studio in Ba Dinh district","298 Liễu Giai",VN,1,"Top floor (8th). Rooftop accessible. Lift's available. Streets view. Safe European style outlets. Washer, dryer, and dishwasher's available inside!",NULL,Asia/Saigon,Studio,NULL,NULL,NULL,"2021-11-10 09:55:22","2021-11-12 04:32:31",NULL,ACTIVATED,15:00:00,12:00:00,NULL,NULL,cohost.club,co_upl4gxgo,NULL,NULL,NULL,NULL,2,NULL,1251
